date,pm10,pm2.5
1/01/2023,55.14,51.89
2/01/2023,66.79,49.88
3/01/2023,78.42,59.58
4/01/2023,62.46,44.87
5/01/2023,64.72,45.81
6/01/2023,40.47,18.06
7/01/2023,28.1,21.58
8/01/2023,47.01,41.86
9/01/2023,50.72,38.95
10/01/2023,26.45,23.95
11/01/2023,6.6,4.85
12/01/2023,12.89,9.48
13/01/2023,27.53,19.17
14/01/2023,38.46,30.73
15/01/2023,27.79,25.27
16/01/2023,41.04,32.07
17/01/2023,29.08,23.04
18/01/2023,43.02,16.89
19/01/2023,40.33,14.4
20/01/2023,21.58,8.75
21/01/2023,7.62,5.53
22/01/2023,22.37,17.89
23/01/2023,26.14,12.42
24/01/2023,10.43,8.86
25/01/2023,17.89,12.39
26/01/2023,9.47,9.27
27/01/2023,15.18,12.41
28/01/2023,12.74,11.95
29/01/2023,14.91,14.37
30/01/2023,22.3,17.47
31/01/2023,25.8,14.46
1/02/2023,13.77,8.19
2/02/2023,42.05,26.8
3/02/2023,14.55,7.93
4/02/2023,33.8,15.95
5/02/2023,17.08,7.46
6/02/2023,13.33,10.88
7/02/2023,18.84,16.47
8/02/2023,22.41,19.05
9/02/2023,24.77,19.56
10/02/2023,40.78,27.81
11/02/2023,44.49,37.88
12/02/2023,39.08,34.56
13/02/2023,44.42,36.58
14/02/2023,37.71,23.44
15/02/2023,40.66,28.43
16/02/2023,69.87,51.11
17/02/2023,62.83,52.51
18/02/2023,61.68,51.1
19/02/2023,50.02,43.48
20/02/2023,33.39,16.55
21/02/2023,33.54,19.17
22/02/2023,42.8,31.61
23/02/2023,35.52,31.66
24/02/2023,37.5,31.99
25/02/2023,42.18,34.96
26/02/2023,34.96,17.15
27/02/2023,40.55,21.18
28/02/2023,28.72,22.42
1/03/2023,21.85,18.8
2/03/2023,14.12,12.97
3/03/2023,18.28,14.74
4/03/2023,13.8,13.2
5/03/2023,17.62,16.08
6/03/2023,49.52,24.79
7/03/2023,45.49,19.14
8/03/2023,35.4,20.86
9/03/2023,30.06,16.85
10/03/2023,30.83,17.58
11/03/2023,6.66,4.69
12/03/2023,8.57,4.97
13/03/2023,19.39,11.34
14/03/2023,39.33,18.26
15/03/2023,18.21,15.09
16/03/2023,9.41,6.3
17/03/2023,12.05,9.03
18/03/2023,22.35,17.93
19/03/2023,22.91,19.6
20/03/2023,24.7,19.31
21/03/2023,30.04,25.81
22/03/2023,20.95,18.06
23/03/2023,29.21,23.49
24/03/2023,28.46,23.35
25/03/2023,26.72,24.49
26/03/2023,20.13,12.96
27/03/2023,25.1,13.97
28/03/2023,35.29,8.29
29/03/2023,14.72,6.76
30/03/2023,28.49,15.55
31/03/2023,23.3,14.81
1/04/2023,46.83,20.54
2/04/2023,13.08,9.4
3/04/2023,13.48,10.44
4/04/2023,13.91,7.72
5/04/2023,13.4,8.93
6/04/2023,21.69,13.88
7/04/2023,20.99,15.22
8/04/2023,34.71,25.2
9/04/2023,26.4,22.87
10/04/2023,26.5,15.39
11/04/2023,17.36,25.2
12/04/2023,18.97,12.11
13/04/2023,45.8,14.74
14/04/2023,20.95,15.5
15/04/2023,10.98,8.59
16/04/2023,9.04,7.53
17/04/2023,5.2,4.7
18/04/2023,8.24,5.81
19/04/2023,7.97,7.07
20/04/2023,11.25,9.52
21/04/2023,18.92,12.45
22/04/2023,15.45,11.27
23/04/2023,14.27,12.81
24/04/2023,14.23,12.95
25/04/2023,15.36,12.89
26/04/2023,16.16,13.87
27/04/2023,14.62,9.73
28/04/2023,14.49,8.41
29/04/2023,19.61,14.07
30/04/2023,20.74,14.66
1/05/2023,18.31,14.63
2/05/2023,26.66,17.24
3/05/2023,17.13,12.52
4/05/2023,30.42,21.97
5/05/2023,24.39,13.16
6/05/2023,21.71,11.31
7/05/2023,18.51,11.08
8/05/2023,29.02,15.09
9/05/2023,17.61,16.25
10/05/2023,16.61,9.63
11/05/2023,18.6,10.55
12/05/2023,18.97,11.81
13/05/2023,13.29,8.95
14/05/2023,17.74,13.01
15/05/2023,29.29,17.45
16/05/2023,46.02,26.59
17/05/2023,39.31,26.66
18/05/2023,35.42,12.66
19/05/2023,28.93,12.72
20/05/2023,30.75,18.14
21/05/2023,24.73,19.16
22/05/2023,43.18,19.89
