date,pm10,pm2.5
23/05/2023,22.12,11.1
24/05/2023,27.3,16.26
25/05/2023,25.29,15.24
26/05/2023,19.57,12.16
27/05/2023,16.94,11.48
28/05/2023,13.48,10.24
29/05/2023,20.67,12.61
30/05/2023,17.81,10.51
31/05/2023,23.24,15.13
1/06/2023,22.75,14.2
2/06/2023,25.37,13.67
3/06/2023,18.91,10.4
4/06/2023,12.91,9.32
5/06/2023,16.94,12.8
6/06/2023,22.11,10.33
7/06/2023,23.79,10.72
8/06/2023,20.19,11.11
9/06/2023,23.35,12.53
10/06/2023,23.61,12.23
11/06/2023,15.22,11.55
12/06/2023,27.35,15.05
13/06/2023,23.51,12.23
14/06/2023,20.57,10.97
15/06/2023,21.06,13.13
16/06/2023,22.91,14.94
17/06/2023,9.43,7.04
18/06/2023,14.22,12.02
19/06/2023,13.6,8.18
20/06/2023,19.32,11.73
21/06/2023,18.28,11.8
22/06/2023,29.4,14.81
23/06/2023,26.43,14.08
24/06/2023,27.12,13.69
25/06/2023,11.63,8.16
26/06/2023,16.91,10.39
27/06/2023,15.77,9.17
28/06/2023,20.08,10.97
29/06/2023,11.59,6.81
30/06/2023,14.67,10.1
1/07/2023,15.94,10.73
2/07/2023,13.7,10.8
3/07/2023,14.43,11.01
4/07/2023,22.47,14.93
5/07/2023,21.46,14.03
6/07/2023,15.06,7.9
7/07/2023,16.1,9.66
8/07/2023,20.21,9.4
9/07/2023,8.5,5.04
10/07/2023,14.85,6.88
11/07/2023,24.32,12.08
12/07/2023,31.24,17.51
13/07/2023,29.38,18.34
14/07/2023,35.63,18.86
15/07/2023,30.67,19.13
16/07/2023,17.54,12.26
17/07/2023,21.78,10.53
18/07/2023,24.71,13.94
19/07/2023,20.33,11.11
20/07/2023,28.34,13.04
21/07/2023,23,13.41
22/07/2023,21.9,12.8
23/07/2023,21.82,10.6
24/07/2023,17.38,9.6
25/07/2023,22.87,11.48
26/07/2023,24.67,12.71
27/07/2023,61.74,14.43
28/07/2023,12.22,5.82
29/07/2023,14.89,8.58
30/07/2023,12.2,8.86
31/07/2023,17.45,7.97
1/08/2023,11.25,7.52
2/08/2023,13.92,10.02
3/08/2023,16.97,12.46
4/08/2023,18.34,13.67
5/08/2023,22.21,13.14
6/08/2023,7.47,4.75
7/08/2023,15.69,4.25
8/08/2023,17.28,5.59
9/08/2023,10.43,4.53
10/08/2023,16.67,6.04
11/08/2023,10.36,6.36
12/08/2023,10.65,6.69
13/08/2023,10.18,6.85
14/08/2023,9.06,6.68
15/08/2023,11.2,8.81
16/08/2023,15.21,10.28
17/08/2023,19.14,12.04
18/08/2023,20.88,9.74
19/08/2023,15.81,8.67
20/08/2023,14.02,9.71
21/08/2023,24.77,9.9
22/08/2023,22.57,10.88
23/08/2023,30.94,17.81
24/08/2023,31.15,17.13
25/08/2023,21.12,15.76
26/08/2023,21.26,16.64
27/08/2023,17.55,14.45
28/08/2023,16.48,13.28
29/08/2023,16.31,11.63
30/08/2023,14.49,7.58
31/08/2023,14.85,5.96
1/09/2023,15.87,8.97
2/09/2023,22.02,16.25
3/09/2023,15,11.03
4/09/2023,10.9,9.44
5/09/2023,13.11,9.97
6/09/2023,15.76,11.33
7/09/2023,19.68,13.96
8/09/2023,20.34,14.79
9/09/2023,11.94,8.84
10/09/2023,13.25,7.55
11/09/2023,12.79,6.36
12/09/2023,12.72,6.51
13/09/2023,24.38,13.1
14/09/2023,19.43,13.13
15/09/2023,21.15,14.49
16/09/2023,19.32,13.61
17/09/2023,15.03,11.08
18/09/2023,19.35,11.13
19/09/2023,17.05,9.36
20/09/2023,12.92,9.17
21/09/2023,17.44,11.26
22/09/2023,16.69,11.64
23/09/2023,18.93,15.1
24/09/2023,20.51,16.87
25/09/2023,25.26,16.23
26/09/2023,63.22,13.72
27/09/2023,55.32,13.26
28/09/2023,45.78,11.27
29/09/2023,57.64,19.68
30/09/2023,44.74,14.48
1/10/2023,35.61,13.7
2/10/2023,31.28,15.32
3/10/2023,29.57,13.32
4/10/2023,42.63,16.82
5/10/2023,54.4,20.44
6/10/2023,48.13,19.16
7/10/2023,40.7,17.11
8/10/2023,33.07,16.6
9/10/2023,43.98,11.61
10/10/2023,44,12.69
11/10/2023,49.93,11.64
12/10/2023,28.71,8.75
13/10/2023,67.99,18.55
14/10/2023,57.56,23.15
15/10/2023,41.96,16.99
16/10/2023,34.63,12.5
17/10/2023,22.81,7.49
18/10/2023,12.58,4.25
19/10/2023,22.89,6.87
20/10/2023,53.43,11.07
21/10/2023,48.77,17.53
22/10/2023,43.14,20.93
23/10/2023,54.09,22.52
24/10/2023,65.93,26.27
25/10/2023,59.43,25.75
26/10/2023,39.8,16.41
27/10/2023,49.94,16.25
28/10/2023,24.48,10.13
29/10/2023,21.79,9.42
30/10/2023,40.45,14.41
31/10/2023,38.08,15.23
1/11/2023,41.6,16.03
2/11/2023,29.95,12.13
3/11/2023,27.71,10.07
4/11/2023,27.38,11.17
5/11/2023,15.35,7.07
6/11/2023,58.23,15.14
7/11/2023,64.15,18.98
8/11/2023,58.35,19.91
9/11/2023,18.81,7.23
10/11/2023,31.06,13.08
11/11/2023,24.52,13.79
12/11/2023,24.67,12.54
13/11/2023,20.08,8.24
14/11/2023,70.57,18.76
15/11/2023,51.45,21.36
16/11/2023,14.07,5.77
17/11/2023,55.63,21.85
18/11/2023,8.99,2.69
19/11/2023,7.21,4.7
20/11/2023,33.8,18.21
21/11/2023,67.83,30.03
22/11/2023,51.94,39.57
23/11/2023,30.92,20.09
24/11/2023,39.78,18.59
25/11/2023,13.78,8.31
26/11/2023,6.39,4.24
27/11/2023,19.92,11.64
28/11/2023,82.18,34.76
29/11/2023,54.49,25.85
30/11/2023,71.85,29.74
1/12/2023,95.82,40.06
2/12/2023,66.18,31.93
3/12/2023,54.58,25.65
4/12/2023,21.29,13.46
5/12/2023,49.31,21.88
6/12/2023,15.91,10.4
7/12/2023,42.33,17.43
8/12/2023,11.96,8.15
9/12/2023,36.14,23.34
10/12/2023,43.39,30.54
11/12/2023,52.72,25.83
12/12/2023,86.96,37.03
13/12/2023,177.64,57.4
14/12/2023,83.08,51.14
15/12/2023,10.18,5.71
16/12/2023,6.59,5.5
17/12/2023,16.38,12.69
18/12/2023,40.6,23.11
19/12/2023,58.3,30.79
20/12/2023,94.1,43.29
21/12/2023,36.32,23.77
22/12/2023,67.71,27.2
23/12/2023,40.97,22.62
24/12/2023,50.27,33.85
25/12/2023,50.76,37.65
26/12/2023,50.5,37.39
27/12/2023,72.12,29.23
28/12/2023,125.98,47.88
29/12/2023,70.25,44.15
30/12/2023,74.19,52.28
31/12/2023,60.72,48.23
