date,pm10,pm2.5
21/09/2022,8.23,4.7
22/09/2022,14.44,7.62
23/09/2022,18.19,9.37
24/09/2022,25.22,14.04
25/09/2022,27.7,15.71
26/09/2022,28.33,14.76
27/09/2022,21.9,12.53
28/09/2022,19.03,10.38
29/09/2022,23.18,10.09
30/09/2022,32.99,12.43
1/10/2022,25.01,12.12
2/10/2022,10.79,6.68
3/10/2022,23.48,9
4/10/2022,8.89,4.97
5/10/2022,18.26,9.47
6/10/2022,34.11,15.17
7/10/2022,36.26,15.19
8/10/2022,28.33,13.61
9/10/2022,23.44,14.97
10/10/2022,30.69,19.4
11/10/2022,44.39,26.05
12/10/2022,30.76,21.01
13/10/2022,22.24,12.96
14/10/2022,10.83,8.14
15/10/2022,24.77,13.04
16/10/2022,22.19,18.56
17/10/2022,48.07,25.46
18/10/2022,44.41,21.02
19/10/2022,48.34,23.88
20/10/2022,27.96,17.36
21/10/2022,25.55,17.3
22/10/2022,26.54,18.99
23/10/2022,25.06,17.63
24/10/2022,50.23,25.21
25/10/2022,40.53,28.92
26/10/2022,34.37,24.94
27/10/2022,40.86,26.93
28/10/2022,22.11,16.66
29/10/2022,30.32,20.27
30/10/2022,27.11,21.24
31/10/2022,39.22,22.01
1/11/2022,31.33,19.32
2/11/2022,61.66,33.28
3/11/2022,52.37,32.93
4/11/2022,58.23,41.29
5/11/2022,44.81,31.5
6/11/2022,8.56,7.15
7/11/2022,29.44,22.45
8/11/2022,50.5,37.66
9/11/2022,55.99,43.16
10/11/2022,57.18,41.07
11/11/2022,36.76,28.43
12/11/2022,14.43,11.86
13/11/2022,25.92,20.83
14/11/2022,40.28,30.28
15/11/2022,49.99,38.51
16/11/2022,35.76,29.92
17/11/2022,28.73,21.19
18/11/2022,28.86,21.07
19/11/2022,14.43,7.64
20/11/2022,12.2,8.37
21/11/2022,19.46,6.38
22/11/2022,18.05,9.86
23/11/2022,23.6,17.49
24/11/2022,31.39,14.16
25/11/2022,16.29,6.21
26/11/2022,12.98,10.04
27/11/2022,11.91,10.53
28/11/2022,14.79,13.5
29/11/2022,18.65,15.15
30/11/2022,8.11,6.52
1/12/2022,2.96,2.77
2/12/2022,31.06,19.06
3/12/2022,35.91,27.94
4/12/2022,15.37,13.06
5/12/2022,15.13,12.54
6/12/2022,29.43,19.99
7/12/2022,47.36,34.75
8/12/2022,53.96,40.25
9/12/2022,55.43,41.85
10/12/2022,42.11,36.58
11/12/2022,7.85,6.38
12/12/2022,28.95,12.4
13/12/2022,26.57,13.35
14/12/2022,24.84,18.31
15/12/2022,27.49,22.1
16/12/2022,44.5,32.55
17/12/2022,38.08,30
18/12/2022,22.28,18.08
19/12/2022,15.29,11.13
20/12/2022,39.73,19.11
21/12/2022,60.13,36.58
22/12/2022,70.39,47.99
23/12/2022,85.39,56.04
24/12/2022,59.98,51.01
25/12/2022,23.63,19.93
26/12/2022,34.38,29.53
27/12/2022,54.47,43.89
28/12/2022,47.45,33.62
29/12/2022,58.67,42.76
30/12/2022,56.34,45.48
31/12/2022,60.58,54.44
